Dataset,Dataset_Path,Original_Size,Compressed_Size,Compression_Ratio
book1,./Datasets/Calgary_Corpus/book1,768771,334410,0.5650070046867013
book2,./Datasets/Calgary_Corpus/book2,610856,252274,0.5870155977840932
news,./Datasets/Calgary_Corpus/news,377109,184418,0.5109689771392356
paper1,./Datasets/Calgary_Corpus/paper1,53161,25084,0.5281503357724648
paper2,./Datasets/Calgary_Corpus/paper2,82199,36168,0.5599946471368265
paper3,./Datasets/Calgary_Corpus/paper3,46526,22170,0.5234922408975626
paper4,./Datasets/Calgary_Corpus/paper4,13286,6963,0.47591449646244166
paper5,./Datasets/Calgary_Corpus/paper5,11954,6586,0.4490547097205956
paper6,./Datasets/Calgary_Corpus/paper6,38105,18701,0.5092245112190001
progc,./Datasets/Calgary_Corpus/progc,39611,19149,0.5165736790285527
progl,./Datasets/Calgary_Corpus/progl,71646,27155,0.6209837255394579
progp,./Datasets/Calgary_Corpus/progp,49379,19216,0.6108467162153952
alice29.txt,./Datasets/Canterbury_Corpus/alice29.txt,152089,62254,0.5906738817402968
asyoulik.txt,./Datasets/Canterbury_Corpus/asyoulik.txt,125179,54997,0.5606531446967942
fields.c,./Datasets/Canterbury_Corpus/fields.c,11150,4971,0.554170403587444
grammar.lsp,./Datasets/Canterbury_Corpus/grammar.lsp,3721,1819,0.5111529158828272
lcet10.txt,./Datasets/Canterbury_Corpus/lcet10.txt,426754,170025,0.6015854567268262
plrabn12.txt,./Datasets/Canterbury_Corpus/plrabn12.txt,481861,205148,0.5742589667974789
xargs.1,./Datasets/Canterbury_Corpus/xargs.1,4227,2346,0.44499645138396027
bible.txt,./Datasets/Large_text_files/bible.txt,4047392,1406200,0.6525663933713364
E.coli,./Datasets/Large_text_files/E.coli,4638690,1257395,0.7289331686316611
world192.txt,./Datasets/Large_text_files/world192.txt,2473400,1007254,0.5927654241125576
hi,./Datasets/protein_corpus/hi,509519,304976,0.4014433220350958
hs,./Datasets/protein_corpus/hs,3295751,1947072,0.40921750459910355
mj,./Datasets/protein_corpus/mj,448779,262053,0.4160756185115614
sc,./Datasets/protein_corpus/sc,2900352,1735124,0.40175399399796985
